model,accuracy,precision,recall,f1,roc_auc
HistGradientBoosting,0.7572746628814763,0.5278745644599303,0.8101604278074866,0.6392405063291139,0.8454984628897674
Logistic Regression,0.7395315826827538,0.5059021922428331,0.8021390374331551,0.6204756980351603,0.8446743651347233
Random Forest,0.7601135557132718,0.5328467153284672,0.7807486631016043,0.6334056399132321,0.8443889018057815
